"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29"
"2050000.00",403390.00,3.30,390328.00,187478.00,73.40,5496.31,173455.00,10415.00,163045.00,6.40,173460.00,104245.00,69175.00,35.00,173460.00,337210.00,98235.00,7860.00,69975.00,202335.00,85440.00,49440.00,62.10,2.30,337215.00,337215.00,323835.00,36089.00,40.90
"2050001.00",3868.00,2.90,3759.00,1658.00,678.20,5.70,1580.00,15.00,1560.00,6.50,1575.00,980.00,600.00,0.00,1580.00,3090.00,485.00,50.00,615.00,1435.00,885.00,775.00,56.70,2.50,3060.00,3065.00,2895.00,30071.00,37.70
"2050002.00",6194.00,15.50,5363.00,2942.00,537.70,11.52,2715.00,25.00,2690.00,6.20,2715.00,1530.00,1190.00,0.00,2715.00,5025.00,1325.00,65.00,895.00,2665.00,1285.00,1080.00,57.60,2.20,5055.00,5055.00,4850.00,31630.00,41.70
"2050003.00",2955.00,-2.70,3036.00,1401.00,1249.30,2.37,1230.00,80.00,1145.00,6.20,1225.00,600.00,625.00,0.00,1230.00,2415.00,1365.00,70.00,220.00,1695.00,585.00,140.00,57.70,2.20,2355.00,2355.00,2250.00,37808.00,36.80
"2050004.01",3466.00,1.40,3418.00,2659.00,7202.80,0.48,2245.00,210.00,2030.00,3.30,2245.00,135.00,2105.00,0.00,2245.00,3450.00,1745.00,100.00,385.00,2345.00,1020.00,90.00,64.60,1.50,3355.00,3355.00,3270.00,24192.00,33.30
"2050004.02",4771.00,2.60,4649.00,3310.00,9896.30,0.48,2735.00,280.00,2455.00,3.80,2735.00,300.00,2430.00,0.00,2730.00,4360.00,2355.00,170.00,425.00,3070.00,1105.00,185.00,55.30,1.70,4420.00,4425.00,4285.00,20133.00,35.20
"2050005.00",1808.00,0.60,1797.00,731.00,2352.00,0.77,665.00,20.00,645.00,8.50,660.00,535.00,135.00,0.00,665.00,1560.00,1035.00,25.00,90.00,1175.00,265.00,125.00,50.00,2.80,1505.00,1500.00,1445.00,59520.00,40.40
"2050006.00",3129.00,0.20,3122.00,1800.00,2969.00,1.05,1285.00,260.00,1020.00,6.10,1285.00,630.00,655.00,0.00,1285.00,2585.00,1450.00,25.00,135.00,1640.00,835.00,105.00,59.80,2.20,2615.00,2620.00,2540.00,30896.00,37.30
"2050007.00",1859.00,8.30,1716.00,1362.00,1601.90,1.16,1110.00,320.00,795.00,3.60,1115.00,225.00,890.00,0.00,1115.00,1580.00,985.00,40.00,170.00,1235.00,290.00,50.00,42.70,1.50,1605.00,1610.00,1580.00,36147.00,53.10
"2050008.00",2778.00,0.50,2763.00,2069.00,5515.20,0.50,1590.00,400.00,1190.00,3.90,1595.00,285.00,1310.00,0.00,1590.00,2585.00,1525.00,60.00,275.00,1880.00,625.00,85.00,59.80,1.80,2650.00,2645.00,2540.00,26432.00,35.30
"2050009.00",2357.00,18.80,1984.00,1535.00,3711.80,0.64,1300.00,210.00,1095.00,3.80,1300.00,210.00,1090.00,0.00,1300.00,2065.00,1155.00,25.00,285.00,1540.00,450.00,80.00,72.40,1.70,2095.00,2100.00,2030.00,33680.00,34.30
"2050010.00",5036.00,0.10,5029.00,3290.00,6035.50,0.83,2805.00,290.00,2515.00,4.20,2805.00,445.00,2355.00,0.00,2805.00,4490.00,1645.00,95.00,695.00,2625.00,1165.00,700.00,60.60,1.80,4490.00,4490.00,4305.00,23844.00,37.70
"2050011.00",5631.00,-4.70,5910.00,2912.00,6970.80,0.81,2565.00,130.00,2435.00,5.20,2565.00,880.00,1680.00,0.00,2565.00,4975.00,2475.00,90.00,675.00,3360.00,1315.00,295.00,70.40,2.10,4975.00,4975.00,4835.00,28864.00,36.30
"2050012.00",2482.00,-6.30,2650.00,1236.00,4793.40,0.52,1020.00,35.00,985.00,6.50,1020.00,505.00,510.00,0.00,1020.00,2085.00,1290.00,30.00,175.00,1510.00,455.00,115.00,66.40,2.40,2140.00,2140.00,2075.00,32051.00,37.10
