"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29"
"5370000.00",747545.00,3.70,721053.00,306034.00,544.90,1371.89,293345.00,38235.00,255105.00,6.50,293345.00,206485.00,86860.00,0.00,293345.00,612635.00,141075.00,11960.00,140090.00,332950.00,170595.00,109090.00,60.20,2.50,612630.00,612635.00,588165.00,35319.00,41.60
"5370001.01",2193.00,3.50,2118.00,772.00,397.60,5.52,760.00,125.00,635.00,7.30,760.00,570.00,185.00,0.00,755.00,1735.00,320.00,10.00,400.00,845.00,535.00,355.00,58.90,2.90,1785.00,1790.00,1715.00,33280.00,39.80
"5370001.02",5302.00,-3.20,5475.00,1784.00,4102.40,1.29,1760.00,350.00,1410.00,7.00,1755.00,1325.00,430.00,0.00,1760.00,4235.00,685.00,90.00,1145.00,2135.00,1265.00,840.00,65.30,3.00,4265.00,4265.00,4025.00,33911.00,36.70
"5370001.04",6305.00,1.30,6223.00,1930.00,3702.50,1.70,1895.00,130.00,1760.00,7.50,1895.00,1595.00,305.00,0.00,1895.00,4990.00,1015.00,110.00,1370.00,2795.00,1260.00,935.00,61.40,3.30,4985.00,4990.00,4695.00,33873.00,38.10
"5370001.05",5344.00,13.80,4695.00,1624.00,3443.70,1.55,1605.00,280.00,1330.00,7.00,1605.00,1295.00,315.00,0.00,1610.00,4020.00,780.00,50.00,960.00,2125.00,1130.00,770.00,58.90,3.20,4020.00,4020.00,3800.00,31642.00,38.60
"5370001.06",5191.00,-4.10,5411.00,1623.00,3511.00,1.48,1610.00,160.00,1450.00,7.90,1605.00,1410.00,195.00,0.00,1605.00,4265.00,795.00,90.00,1150.00,2310.00,1270.00,685.00,62.50,3.10,4270.00,4270.00,4050.00,34080.00,40.90
"5370001.07",3725.00,0.30,3713.00,1274.00,4922.70,0.76,1270.00,495.00,780.00,6.70,1270.00,845.00,430.00,0.00,1270.00,2910.00,275.00,40.00,750.00,1280.00,940.00,695.00,56.00,2.90,2995.00,3000.00,2840.00,29518.00,37.70
"5370001.08",6556.00,7.00,6125.00,2063.00,4001.50,1.64,2050.00,160.00,1890.00,7.30,2055.00,1710.00,340.00,0.00,2050.00,5335.00,915.00,110.00,1250.00,2610.00,1600.00,1120.00,63.90,3.20,5335.00,5335.00,5040.00,33434.00,38.00
"5370001.09",4566.00,2.70,4445.00,1406.00,2318.00,1.97,1390.00,310.00,1080.00,6.90,1390.00,1185.00,205.00,0.00,1390.00,3565.00,650.00,55.00,880.00,1795.00,900.00,865.00,62.70,3.30,3530.00,3530.00,3300.00,33466.00,34.90
"5370002.01",5122.00,0.80,5079.00,1639.00,3450.30,1.48,1630.00,75.00,1545.00,7.30,1630.00,1470.00,155.00,0.00,1625.00,4125.00,895.00,75.00,1060.00,2255.00,1130.00,735.00,64.30,3.20,4125.00,4125.00,3895.00,36456.00,37.40
"5370002.03",3069.00,0.10,3066.00,1095.00,3979.00,0.77,1050.00,225.00,825.00,7.30,1050.00,895.00,155.00,0.00,1050.00,2485.00,395.00,50.00,630.00,1225.00,755.00,510.00,57.20,2.80,2545.00,2540.00,2430.00,32712.00,40.40
"5370002.04",4629.00,-3.40,4790.00,1556.00,4706.20,0.98,1570.00,45.00,1530.00,7.30,1575.00,1240.00,330.00,0.00,1575.00,3920.00,795.00,85.00,955.00,2035.00,1150.00,740.00,59.70,3.00,3870.00,3865.00,3680.00,33298.00,39.90
