"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29"
"4620000.00",4098927.00,4.20,3934078.00,1823281.00,890.20,4604.26,1727310.00,276455.00,1450860.00,5.50,1727310.00,961760.00,765545.00,0.00,1727310.00,3319370.00,847815.00,130910.00,579950.00,2011865.00,720375.00,587135.00,61.00,2.30,3319410.00,3319410.00,3188850.00,33040.00,40.60
"4620001.00",2638.00,1.20,2608.00,1452.00,5710.00,0.46,1335.00,300.00,1035.00,4.80,1340.00,640.00,700.00,0.00,1340.00,2285.00,330.00,85.00,365.00,1225.00,500.00,560.00,62.70,1.90,2235.00,2235.00,2165.00,31629.00,42.50
"4620002.00",3516.00,15.70,3039.00,1902.00,9029.30,0.39,1770.00,365.00,1405.00,4.40,1770.00,720.00,1050.00,0.00,1770.00,2870.00,335.00,110.00,515.00,1500.00,645.00,725.00,58.90,2.00,2930.00,2930.00,2850.00,30296.00,41.10
"4620003.00",6373.00,2.20,6238.00,3103.00,8612.20,0.74,2935.00,250.00,2685.00,4.90,2935.00,1170.00,1770.00,0.00,2935.00,5245.00,770.00,195.00,810.00,2680.00,1260.00,1305.00,56.10,2.10,5305.00,5305.00,5110.00,30149.00,42.00
"4620004.00",3176.00,-2.60,3261.00,1704.00,7087.70,0.45,1605.00,155.00,1450.00,4.70,1600.00,595.00,1010.00,0.00,1605.00,2770.00,405.00,140.00,435.00,1495.00,710.00,565.00,58.80,1.90,2705.00,2705.00,2630.00,31152.00,43.80
"4620005.00",3060.00,-3.30,3163.00,1749.00,5418.80,0.56,1575.00,180.00,1395.00,4.50,1575.00,570.00,1005.00,0.00,1575.00,2620.00,385.00,95.00,360.00,1370.00,600.00,650.00,57.40,1.90,2605.00,2610.00,2545.00,30443.00,43.10
"4620006.00",4467.00,0.20,4458.00,2149.00,6891.40,0.65,1970.00,160.00,1805.00,4.80,1965.00,525.00,1440.00,0.00,1965.00,3515.00,530.00,115.00,490.00,1715.00,805.00,995.00,56.20,2.20,3610.00,3610.00,3460.00,26496.00,38.20
"4620007.00",5682.00,-0.70,5722.00,2946.00,5210.50,1.09,2805.00,495.00,2310.00,5.00,2810.00,1445.00,1360.00,0.00,2805.00,4910.00,1015.00,200.00,780.00,2735.00,1185.00,985.00,56.00,2.00,4910.00,4905.00,4750.00,32361.00,43.10
"4620008.00",3016.00,2.50,2943.00,1586.00,4842.60,0.62,1490.00,270.00,1225.00,5.00,1490.00,785.00,710.00,0.00,1495.00,2660.00,530.00,105.00,460.00,1510.00,575.00,570.00,61.40,2.10,2555.00,2560.00,2490.00,36275.00,41.40
"4620009.00",3470.00,-0.50,3488.00,1770.00,813.80,4.26,1670.00,155.00,1520.00,4.80,1670.00,695.00,980.00,0.00,1675.00,3030.00,405.00,120.00,600.00,1565.00,670.00,795.00,60.60,2.10,2935.00,2930.00,2840.00,31081.00,40.10
