"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29"
"5320000.00",379848.00,6.60,356177.00,142462.00,420.30,903.69,138960.00,8525.00,130440.00,6.90,138965.00,108090.00,30875.00,0.00,138960.00,306460.00,54700.00,5185.00,80435.00,161105.00,92715.00,52645.00,60.80,2.70,306460.00,306455.00,291745.00,37988.00,39.60
"5320001.00",3389.00,9.10,3107.00,1606.00,508.70,6.66,1550.00,55.00,1490.00,5.60,1550.00,895.00,655.00,0.00,1550.00,2935.00,210.00,25.00,715.00,1205.00,970.00,760.00,58.70,2.20,2910.00,2905.00,2760.00,27925.00,39.60
"5320002.01",4132.00,0.20,4125.00,1687.00,1821.70,2.27,1600.00,0.00,1600.00,6.50,1605.00,1035.00,570.00,0.00,1605.00,3310.00,250.00,30.00,820.00,1355.00,1145.00,810.00,52.50,2.50,3335.00,3335.00,3135.00,29299.00,38.40
"5320002.02",4521.00,6.60,4243.00,2035.00,3964.10,1.14,1845.00,350.00,1495.00,5.00,1840.00,475.00,1360.00,0.00,1840.00,3420.00,80.00,25.00,660.00,975.00,1380.00,1060.00,43.70,2.40,3560.00,3560.00,3320.00,23152.00,35.10
"5320002.03",6075.00,-4.00,6325.00,2379.00,858.40,7.08,2350.00,295.00,2055.00,6.60,2350.00,1815.00,540.00,0.00,2355.00,5200.00,330.00,55.00,1245.00,1980.00,2000.00,1220.00,56.80,2.70,5055.00,5055.00,4800.00,30471.00,39.30
"5320003.01",4321.00,-7.50,4672.00,1667.00,1744.60,2.48,1600.00,30.00,1570.00,6.50,1600.00,1155.00,440.00,0.00,1600.00,3530.00,255.00,30.00,835.00,1405.00,1250.00,870.00,58.90,2.60,3525.00,3525.00,3355.00,31224.00,42.50
"5320003.02",6313.00,-1.90,6432.00,2383.00,2515.40,2.51,2360.00,40.00,2320.00,7.50,2365.00,1975.00,390.00,0.00,2365.00,5490.00,995.00,80.00,1480.00,3025.00,1520.00,950.00,57.20,2.70,5485.00,5490.00,5250.00,36750.00,44.30
"5320004.01",2963.00,-1.00,2992.00,1243.00,3137.40,0.94,1165.00,115.00,1050.00,6.30,1165.00,820.00,340.00,0.00,1165.00,2525.00,165.00,25.00,575.00,960.00,965.00,595.00,61.80,2.50,2470.00,2470.00,2360.00,32640.00,39.00
"5320004.02",4081.00,2.10,3998.00,2212.00,2624.90,1.55,2180.00,10.00,2175.00,4.80,2175.00,720.00,1455.00,0.00,2175.00,3695.00,195.00,45.00,795.00,1375.00,1350.00,970.00,53.00,1.90,3610.00,3605.00,3480.00,26715.00,43.40
"5320005.00",3833.00,3.50,3705.00,1962.00,3424.50,1.12,1790.00,10.00,1780.00,5.10,1790.00,740.00,1050.00,0.00,1790.00,3025.00,180.00,20.00,665.00,1145.00,930.00,955.00,45.60,2.00,3150.00,3150.00,3030.00,23222.00,42.60
"5320006.00",3524.00,2.40,3442.00,1706.00,2449.30,1.44,1595.00,125.00,1470.00,5.40,1595.00,725.00,865.00,0.00,1595.00,2870.00,205.00,25.00,625.00,1130.00,840.00,900.00,46.30,2.20,2925.00,2925.00,2785.00,24454.00,39.80
"5320007.00",5170.00,-1.50,5251.00,2403.00,3261.60,1.59,2270.00,10.00,2260.00,6.40,2265.00,1705.00,560.00,0.00,2270.00,4415.00,320.00,75.00,1065.00,1820.00,1565.00,1025.00,54.10,2.20,4440.00,4440.00,4280.00,32888.00,44.00
"5320008.01",3824.00,1.50,3766.00,1380.00,2156.10,1.77,1360.00,0.00,1355.00,6.90,1355.00,1180.00,180.00,0.00,1360.00,3000.00,295.00,25.00,860.00,1435.00,1055.00,510.00,61.50,2.70,3055.00,3050.00,2935.00,36736.00,40.60
"5320008.02",2531.00,-2.00,2583.00,1053.00,2022.90,1.25,1065.00,0.00,1060.00,6.80,1065.00,825.00,240.00,0.00,1065.00,2365.00,130.00,30.00,530.00,860.00,865.00,645.00,52.30,2.50,2170.00,2170.00,2075.00,34901.00,43.60
"5320008.03",4393.00,-1.00,4439.00,1751.00,2318.30,1.89,1700.00,0.00,1690.00,7.50,1695.00,1495.00,200.00,0.00,1695.00,3705.00,480.00,80.00,945.00,1750.00,1235.00,725.00,52.80,2.50,3850.00,3845.00,3710.00,40192.00,45.70
"5320008.05",3196.00,-1.20,3236.00,1282.00,1557.40,2.05,1250.00,20.00,1230.00,7.00,1250.00,990.00,260.00,0.00,1250.00,2720.00,355.00,55.00,770.00,1385.00,910.00,430.00,53.00,2.50,2765.00,2765.00,2655.00,35520.00,44.80
"5320008.06",5462.00,3.60,5272.00,1819.00,2889.90,1.89,1815.00,105.00,1710.00,7.70,1815.00,1730.00,85.00,0.00,1815.00,4490.00,735.00,60.00,1390.00,2450.00,1375.00,670.00,63.00,3.00,4450.00,4450.00,4225.00,41869.00,38.60
"5320008.07",7933.00,12.60,7043.00,2682.00,2334.90,3.40,2665.00,100.00,2560.00,7.50,2660.00,2305.00,360.00,0.00,2660.00,6325.00,1255.00,155.00,1775.00,3625.00,1805.00,890.00,63.20,3.00,6325.00,6325.00,6000.00,43985.00,38.70
"5320009.01",2657.00,1.30,2622.00,1238.00,2593.20,1.02,1215.00,15.00,1200.00,6.20,1215.00,805.00,410.00,0.00,1215.00,2295.00,230.00,30.00,650.00,1100.00,780.00,415.00,60.80,2.20,2270.00,2270.00,2185.00,32288.00,41.90
"5320009.02",3263.00,-3.70,3388.00,1237.00,3377.80,0.97,1235.00,180.00,1055.00,7.00,1230.00,1045.00,185.00,0.00,1235.00,2655.00,365.00,50.00,765.00,1340.00,900.00,420.00,64.10,2.70,2695.00,2695.00,2575.00,36153.00,39.00
"5320009.03",5999.00,1.50,5909.00,2221.00,3534.20,1.70,2200.00,200.00,2005.00,6.80,2205.00,1635.00,565.00,0.00,2200.00,4845.00,660.00,85.00,1365.00,2425.00,1525.00,895.00,59.50,2.70,4840.00,4845.00,4535.00,36774.00,37.50
"5320009.04",2667.00,-1.80,2717.00,1101.00,2595.60,1.03,1070.00,10.00,1070.00,7.40,1070.00,945.00,120.00,0.00,1070.00,2355.00,280.00,40.00,575.00,1065.00,765.00,530.00,52.10,2.50,2320.00,2320.00,2230.00,36851.00,45.70
"5320009.05",5399.00,-0.70,5436.00,2519.00,3137.50,1.72,2510.00,545.00,1965.00,6.40,2510.00,1475.00,1035.00,0.00,2510.00,4855.00,575.00,45.00,1170.00,2185.00,1640.00,1030.00,43.30,2.10,4860.00,4860.00,4680.00,36437.00,50.80
"5320010.00",4524.00,1.20,4469.00,2842.00,3486.40,1.30,2595.00,510.00,2085.00,4.40,2600.00,765.00,1835.00,0.00,2600.00,4045.00,335.00,70.00,875.00,1605.00,1325.00,1115.00,43.40,1.70,3920.00,3920.00,3765.00,21271.00,46.10
"5320011.00",5284.00,-0.60,5318.00,2257.00,2694.70,1.96,2245.00,180.00,2065.00,6.30,2240.00,1515.00,730.00,0.00,2240.00,4165.00,745.00,50.00,1135.00,2175.00,1235.00,750.00,56.70,2.10,4045.00,4045.00,3900.00,38459.00,48.00
"5320012.01",3266.00,-0.60,3286.00,1460.00,3993.60,0.82,1345.00,0.00,1340.00,5.40,1350.00,480.00,870.00,0.00,1345.00,2520.00,195.00,50.00,585.00,1020.00,935.00,570.00,48.80,2.20,2610.00,2610.00,2490.00,27456.00,41.10
"5320012.02",2613.00,-1.40,2651.00,1203.00,1967.90,1.33,1120.00,0.00,1120.00,6.80,1125.00,945.00,185.00,0.00,1120.00,2240.00,245.00,15.00,605.00,1030.00,690.00,525.00,53.50,2.20,2365.00,2360.00,2300.00,38027.00,48.30
"5320013.00",6369.00,0.70,6323.00,2489.00,1223.30,5.21,2450.00,0.00,2450.00,7.60,2450.00,2135.00,315.00,0.00,2450.00,5485.00,1170.00,95.00,1425.00,3120.00,1565.00,795.00,55.40,2.60,5530.00,5530.00,5335.00,42148.00,45.00
"5320014.01",2469.00,0.10,2467.00,1058.00,2181.90,1.13,1045.00,10.00,1035.00,7.20,1040.00,765.00,275.00,0.00,1040.00,2185.00,435.00,30.00,555.00,1210.00,650.00,330.00,58.40,2.40,2140.00,2140.00,2055.00,40333.00,44.10
"5320014.02",5072.00,1.20,5014.00,2580.00,8653.80,0.59,2510.00,435.00,2080.00,4.50,2510.00,295.00,2215.00,0.00,2510.00,4235.00,315.00,35.00,970.00,1595.00,1485.00,1150.00,40.60,2.00,4255.00,4255.00,4035.00,22778.00,40.20
"5320015.02",4075.00,1.60,4010.00,1547.00,1846.60,2.21,1480.00,240.00,1240.00,6.90,1480.00,1125.00,360.00,0.00,1480.00,3295.00,475.00,35.00,920.00,1725.00,1020.00,560.00,59.20,2.70,3390.00,3390.00,3210.00,32164.00,38.70
"5320015.03",1694.00,-1.10,1712.00,754.00,2059.10,0.82,725.00,10.00,715.00,6.70,725.00,490.00,235.00,0.00,720.00,1500.00,175.00,20.00,355.00,675.00,515.00,310.00,53.80,2.30,1480.00,1480.00,1415.00,33280.00,44.40
"5320015.04",2245.00,1.90,2204.00,952.00,425.60,5.28,820.00,10.00,815.00,7.20,820.00,685.00,135.00,0.00,820.00,1990.00,410.00,15.00,455.00,995.00,705.00,295.00,55.90,2.70,1895.00,1895.00,1830.00,32341.00,40.50
"5320016.01",11248.00,33.60,8420.00,3527.00,3409.70,3.30,3510.00,170.00,3335.00,7.10,3510.00,3150.00,360.00,0.00,3510.00,8420.00,1725.00,180.00,2310.00,4710.00,2450.00,1260.00,63.10,3.20,8480.00,8480.00,7970.00,39324.00,36.60
"5320016.03",7557.00,74.60,4327.00,2005.00,2273.10,3.32,1965.00,45.00,1925.00,8.40,1970.00,1890.00,80.00,0.00,1965.00,5220.00,1385.00,110.00,1370.00,3140.00,1335.00,750.00,69.80,3.80,5165.00,5160.00,4800.00,44407.00,30.80
"5320016.04",7396.00,57.30,4703.00,2643.00,104.30,70.91,2405.00,15.00,2385.00,7.80,2400.00,2135.00,260.00,0.00,2405.00,5770.00,1635.00,95.00,1470.00,3545.00,1510.00,720.00,63.80,3.10,5770.00,5770.00,5495.00,39582.00,35.90
"5320100.01",6584.00,11.80,5887.00,2512.00,406.10,16.21,2475.00,560.00,1920.00,6.20,2475.00,2020.00,450.00,0.00,2475.00,4850.00,1575.00,75.00,1245.00,3170.00,1210.00,475.00,68.20,2.50,4850.00,4850.00,4685.00,50458.00,38.90
"5320100.02",5638.00,3.40,5453.00,2093.00,2114.50,2.67,2095.00,200.00,1900.00,6.40,2095.00,1280.00,815.00,0.00,2095.00,4730.00,650.00,55.00,1065.00,2150.00,1660.00,920.00,53.60,2.70,4655.00,4655.00,4420.00,31200.00,39.10
"5320100.03",6316.00,-1.60,6421.00,2151.00,1064.60,5.93,2095.00,0.00,2095.00,8.20,2095.00,1895.00,200.00,0.00,2090.00,5180.00,1455.00,115.00,1285.00,3125.00,1550.00,500.00,61.30,2.90,5275.00,5270.00,5045.00,43918.00,40.50
"5320101.02",4114.00,-0.70,4143.00,1546.00,1615.30,2.55,1525.00,70.00,1460.00,7.80,1530.00,1310.00,220.00,0.00,1525.00,3675.00,735.00,75.00,1010.00,2045.00,1105.00,525.00,58.60,2.70,3565.00,3565.00,3440.00,40704.00,44.40
"5320101.03",4063.00,-3.20,4199.00,1382.00,2400.40,1.69,1365.00,10.00,1360.00,8.40,1365.00,1275.00,90.00,0.00,1365.00,3460.00,770.00,85.00,870.00,2015.00,970.00,470.00,62.10,3.00,3515.00,3515.00,3355.00,40832.00,42.60
"5320101.04",4607.00,-2.50,4723.00,1704.00,2710.80,1.70,1695.00,255.00,1445.00,7.30,1700.00,1325.00,370.00,0.00,1700.00,3830.00,855.00,60.00,1075.00,2240.00,1110.00,490.00,62.10,2.70,3885.00,3885.00,3710.00,40550.00,41.10
"5320101.05",3840.00,15.00,3339.00,1685.00,1128.30,3.40,1620.00,230.00,1395.00,6.20,1620.00,1000.00,620.00,0.00,1625.00,3310.00,530.00,55.00,790.00,1680.00,985.00,655.00,57.10,2.40,3240.00,3240.00,3100.00,32945.00,42.70
"5320101.06",4566.00,1.70,4488.00,1442.00,1940.30,2.35,1425.00,90.00,1330.00,7.40,1420.00,1310.00,115.00,0.00,1420.00,3500.00,785.00,70.00,930.00,1975.00,1070.00,460.00,65.20,3.10,3575.00,3575.00,3345.00,39667.00,39.20
"5320102.01",3240.00,0.80,3213.00,1115.00,3148.10,1.03,1085.00,340.00,745.00,7.50,1090.00,995.00,95.00,0.00,1090.00,2570.00,620.00,55.00,620.00,1450.00,775.00,345.00,68.20,2.80,2600.00,2600.00,2475.00,41637.00,40.40
"5320102.02",2265.00,7.40,2109.00,1345.00,3401.90,0.67,1305.00,75.00,1225.00,4.40,1300.00,335.00,965.00,0.00,1300.00,2040.00,225.00,25.00,550.00,970.00,670.00,405.00,45.70,1.70,2015.00,2020.00,1955.00,26056.00,49.20
"5320102.03",3053.00,1.60,3004.00,1345.00,2131.10,1.43,1280.00,10.00,1275.00,6.10,1280.00,725.00,560.00,0.00,1285.00,2600.00,530.00,75.00,615.00,1335.00,920.00,350.00,60.40,2.30,2595.00,2600.00,2490.00,35712.00,43.30
"5320103.00",2544.00,-0.50,2556.00,1304.00,2194.40,1.16,1225.00,20.00,1200.00,5.80,1220.00,675.00,550.00,0.00,1220.00,2155.00,425.00,25.00,490.00,1145.00,645.00,370.00,54.90,2.00,2235.00,2235.00,2175.00,33189.00,45.70
"5320104.00",4173.00,-2.50,4279.00,1692.00,2450.10,1.70,1680.00,20.00,1660.00,6.70,1685.00,1285.00,400.00,0.00,1685.00,3490.00,645.00,75.00,1020.00,1995.00,1020.00,475.00,64.60,2.40,3390.00,3395.00,3270.00,40171.00,44.40
"5320105.03",9594.00,9.90,8727.00,2736.00,1653.30,5.80,2720.00,20.00,2705.00,7.70,2720.00,2590.00,130.00,0.00,2720.00,7070.00,2015.00,225.00,1650.00,4175.00,1920.00,975.00,68.30,3.50,7135.00,7140.00,6620.00,46080.00,33.30
"5320105.04",4669.00,1.10,4616.00,1419.00,2742.40,1.70,1415.00,115.00,1300.00,7.50,1415.00,1225.00,190.00,0.00,1415.00,3525.00,950.00,105.00,755.00,1960.00,1020.00,550.00,63.20,3.00,3455.00,3460.00,3280.00,43008.00,43.30
"5320105.05",4508.00,0.00,4508.00,1507.00,4085.20,1.10,1515.00,250.00,1260.00,6.90,1510.00,1370.00,145.00,0.00,1515.00,3585.00,950.00,70.00,900.00,2070.00,1110.00,405.00,68.90,3.00,3565.00,3565.00,3360.00,41600.00,35.30
"5320105.06",2815.00,4.30,2698.00,1030.00,4539.60,0.62,995.00,115.00,875.00,6.70,995.00,820.00,175.00,0.00,995.00,2350.00,600.00,35.00,565.00,1290.00,690.00,370.00,64.00,2.80,2375.00,2375.00,2250.00,42032.00,39.40
"5320105.07",5746.00,-5.20,6059.00,1839.00,2927.90,1.96,1840.00,175.00,1670.00,8.60,1835.00,1770.00,65.00,0.00,1835.00,5000.00,1575.00,105.00,1170.00,3080.00,1340.00,580.00,62.20,3.10,4890.00,4895.00,4655.00,42694.00,40.60
"5320105.08",3171.00,4.90,3024.00,898.00,2185.50,1.45,870.00,0.00,870.00,8.00,870.00,835.00,35.00,0.00,870.00,2270.00,665.00,90.00,490.00,1360.00,615.00,290.00,68.10,3.50,2380.00,2385.00,2235.00,44288.00,36.80
