"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29"
"4210000.00",800296.00,4.30,767310.00,382308.00,234.80,3408.70,361890.00,52670.00,309220.00,5.70,361895.00,217925.00,143935.00,35.00,361890.00,654810.00,161010.00,25575.00,136925.00,432660.00,132555.00,89595.00,63.70,2.20,654810.00,654810.00,641470.00,38249.00,42.40
"4210001.01",4927.00,19.90,4108.00,3071.00,4853.20,1.02,2845.00,840.00,2010.00,4.20,2845.00,735.00,2110.00,0.00,2850.00,4005.00,1625.00,265.00,750.00,2990.00,660.00,350.00,43.20,1.50,4005.00,4005.00,3965.00,35509.00,56.50
"4210001.02",3673.00,8.10,3399.00,1928.00,6657.60,0.55,1715.00,740.00,980.00,5.10,1715.00,945.00,775.00,0.00,1720.00,2880.00,1620.00,145.00,545.00,2485.00,285.00,105.00,63.00,1.90,2880.00,2880.00,2830.00,42581.00,47.10
"4210002.00",1450.00,1.60,1427.00,853.00,1043.80,1.39,805.00,75.00,735.00,4.60,810.00,315.00,500.00,0.00,810.00,1235.00,200.00,15.00,190.00,655.00,270.00,305.00,54.70,1.80,1275.00,1275.00,1260.00,29264.00,46.50
"4210003.00",7022.00,-3.80,7302.00,4268.00,7288.80,0.96,3955.00,1980.00,1970.00,4.60,3950.00,1685.00,2265.00,0.00,3950.00,6195.00,3075.00,345.00,1175.00,5030.00,930.00,235.00,54.40,1.70,6195.00,6195.00,6105.00,43974.00,50.60
"4210004.00",578.00,-3.30,598.00,403.00,1016.50,0.57,380.00,25.00,355.00,4.50,380.00,160.00,225.00,0.00,375.00,555.00,170.00,20.00,65.00,310.00,160.00,85.00,53.20,1.60,545.00,545.00,545.00,35328.00,51.60
"4210005.00",3495.00,0.90,3463.00,2310.00,5110.40,0.68,2070.00,810.00,1270.00,4.80,2075.00,860.00,1215.00,0.00,2075.00,3215.00,1825.00,110.00,550.00,2655.00,455.00,105.00,56.10,1.70,3195.00,3195.00,3140.00,43550.00,48.00
"4210006.00",4905.00,-2.00,5006.00,3037.00,11465.60,0.43,2815.00,875.00,1945.00,4.40,2815.00,895.00,1925.00,0.00,2820.00,4240.00,2115.00,190.00,730.00,3370.00,585.00,285.00,58.60,1.70,4235.00,4240.00,4175.00,38156.00,45.50
"4210007.00",2226.00,-2.30,2278.00,1383.00,6558.60,0.34,1275.00,150.00,1130.00,4.00,1280.00,270.00,1010.00,0.00,1280.00,1910.00,460.00,50.00,255.00,1050.00,425.00,440.00,60.30,1.60,1895.00,1900.00,1875.00,25572.00,43.60
"4210008.00",1447.00,-1.90,1475.00,942.00,6497.50,0.22,835.00,65.00,770.00,4.20,840.00,165.00,670.00,0.00,840.00,1290.00,245.00,20.00,255.00,790.00,270.00,235.00,63.30,1.70,1315.00,1315.00,1300.00,27776.00,42.50
"4210009.00",2155.00,-0.40,2163.00,1370.00,5849.60,0.37,1335.00,100.00,1230.00,3.80,1330.00,170.00,1160.00,0.00,1330.00,1950.00,370.00,45.00,310.00,1055.00,430.00,465.00,59.30,1.60,1905.00,1900.00,1885.00,24248.00,44.70
"4210010.00",2596.00,-2.10,2652.00,1497.00,9766.70,0.27,1465.00,185.00,1280.00,4.20,1465.00,420.00,1045.00,0.00,1460.00,2225.00,600.00,55.00,360.00,1325.00,425.00,475.00,58.90,1.80,2170.00,2175.00,2125.00,27493.00,41.00
"4210011.00",1632.00,-4.40,1707.00,1111.00,12467.50,0.13,990.00,70.00,925.00,4.00,985.00,145.00,845.00,0.00,990.00,1515.00,435.00,35.00,300.00,955.00,315.00,240.00,63.90,1.60,1510.00,1510.00,1495.00,26176.00,40.70
"4210012.00",2598.00,-2.90,2675.00,1492.00,11232.20,0.23,1360.00,150.00,1210.00,4.10,1360.00,300.00,1055.00,0.00,1360.00,2030.00,610.00,65.00,355.00,1305.00,280.00,445.00,63.10,1.70,2030.00,2030.00,2005.00,23856.00,43.90
"4210013.00",1457.00,-3.10,1503.00,892.00,11012.80,0.13,850.00,80.00,770.00,4.20,850.00,190.00,660.00,0.00,850.00,1200.00,385.00,35.00,185.00,780.00,250.00,170.00,65.40,1.70,1255.00,1255.00,1235.00,27840.00,38.40
"4210014.00",2086.00,0.80,2069.00,1481.00,17325.60,0.12,1365.00,185.00,1180.00,3.60,1360.00,265.00,1090.00,0.00,1360.00,1875.00,820.00,95.00,395.00,1490.00,250.00,130.00,65.10,1.50,1875.00,1875.00,1855.00,30059.00,42.30
"4210015.00",4394.00,12.80,3897.00,2954.00,4008.40,1.10,2590.00,920.00,1670.00,4.00,2595.00,810.00,1785.00,0.00,2595.00,3650.00,1745.00,205.00,605.00,2845.00,630.00,175.00,47.20,1.50,3670.00,3670.00,3635.00,41301.00,56.80
"4210016.00",2448.00,-2.50,2512.00,2168.00,3606.40,0.68,1465.00,460.00,1005.00,3.70,1470.00,425.00,1040.00,0.00,1470.00,2030.00,925.00,75.00,385.00,1580.00,320.00,120.00,65.90,1.50,2040.00,2040.00,2005.00,30848.00,45.50
"4210017.00",61.00,-50.40,123.00,53.00,754.00,0.08,50.00,45.00,10.00,4.00,50.00,40.00,10.00,0.00,50.00,85.00,15.00,15.00,20.00,80.00,0.00,0.00,75.00,1.50,55.00,,,,49.00
"4210018.00",1154.00,1.90,1133.00,857.00,8611.90,0.13,725.00,190.00,535.00,3.60,725.00,165.00,565.00,0.00,730.00,1055.00,460.00,35.00,215.00,830.00,160.00,65.00,73.50,1.60,1060.00,1060.00,1055.00,27584.00,37.50
"4210019.00",2628.00,-2.60,2698.00,1900.00,16835.40,0.16,1725.00,350.00,1370.00,3.80,1720.00,365.00,1355.00,0.00,1725.00,2410.00,1155.00,105.00,450.00,1910.00,320.00,190.00,68.30,1.50,2410.00,2405.00,2380.00,28774.00,38.80
