"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29"
"5350000.00",5928040.00,6.20,5583064.00,2235145.00,1003.80,5905.84,2135910.00,445655.00,1690260.00,5.90,2135910.00,1420360.00,715545.00,10.00,2135910.00,4879095.00,1626155.00,134705.00,844670.00,2822015.00,1262345.00,794735.00,61.20,2.70,4879095.00,4879095.00,4631950.00,31705.00,39.70
"5350001.00",595.00,-1.50,604.00,274.00,97.60,6.10,245.00,15.00,230.00,5.80,245.00,165.00,80.00,0.00,245.00,505.00,260.00,10.00,100.00,380.00,100.00,30.00,73.50,2.40,510.00,510.00,495.00,41165.00,39.30
"5350002.00",620.00,-5.60,657.00,279.00,195.40,3.17,285.00,10.00,280.00,5.60,290.00,250.00,35.00,0.00,285.00,600.00,290.00,15.00,70.00,390.00,170.00,45.00,61.70,2.20,530.00,530.00,515.00,38016.00,48.70
"5350003.00",749.00,11.30,673.00,267.00,820.50,0.91,265.00,265.00,0.00,3.80,265.00,165.00,100.00,0.00,270.00,420.00,235.00,0.00,100.00,345.00,40.00,35.00,73.80,1.80,425.00,430.00,405.00,50048.00,49.80
"5350004.00",6686.00,-1.40,6781.00,3609.00,19453.00,0.34,3450.00,15.00,3430.00,3.30,3445.00,225.00,3215.00,0.00,3445.00,5705.00,1495.00,130.00,1080.00,3105.00,1535.00,1070.00,61.90,1.80,5705.00,5700.00,5520.00,22315.00,40.00
"5350005.00",6424.00,16.60,5510.00,3729.00,17076.00,0.38,3425.00,1220.00,2205.00,3.50,3425.00,825.00,2600.00,0.00,3425.00,5530.00,1985.00,140.00,1085.00,3470.00,1210.00,850.00,66.00,1.80,5530.00,5530.00,5370.00,28152.00,39.10
"5350006.00",0.00,,0.00,0.00,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,
"5350007.01",3237.00,-2.60,3325.00,1827.00,16233.70,0.20,1755.00,15.00,1745.00,3.40,1760.00,215.00,1540.00,0.00,1755.00,2840.00,955.00,95.00,665.00,1840.00,595.00,405.00,69.70,1.80,2820.00,2820.00,2740.00,28245.00,39.20
"5350007.02",4753.00,-4.20,4962.00,2653.00,10891.40,0.44,2495.00,15.00,2480.00,2.90,2495.00,90.00,2410.00,0.00,2495.00,4090.00,1230.00,80.00,700.00,2260.00,1140.00,690.00,62.20,1.80,4115.00,4110.00,3960.00,24054.00,39.00
"5350008.01",7503.00,174.90,2729.00,5192.00,25262.60,0.30,4975.00,4960.00,10.00,3.20,4975.00,2320.00,2655.00,0.00,4975.00,7335.00,4845.00,190.00,1285.00,6430.00,800.00,100.00,90.10,1.50,7200.00,7205.00,7115.00,60550.00,32.60
