"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29"
"9330000.00",2463431.00,6.50,2313328.00,1027613.00,854.60,2882.68,960890.00,293765.00,667130.00,5.60,960895.00,612005.00,348700.00,190.00,960895.00,2064610.00,631385.00,77850.00,345280.00,1187535.00,589945.00,287140.00,61.80,2.50,2064585.00,2064585.00,1978490.00,32612.00,41.00
"9330001.01",6293.00,-0.30,6311.00,2334.00,6172.00,1.02,2330.00,625.00,1705.00,5.80,2325.00,1235.00,1090.00,0.00,2330.00,5210.00,1430.00,165.00,1000.00,2890.00,1495.00,820.00,60.60,2.60,5245.00,5245.00,5015.00,31232.00,44.20
"9330001.02",5456.00,12.80,4837.00,2132.00,2930.00,1.86,2070.00,1120.00,955.00,5.00,2075.00,1340.00,735.00,0.00,2075.00,4485.00,1575.00,165.00,815.00,2765.00,1165.00,555.00,60.40,2.50,4455.00,4455.00,4280.00,34432.00,42.00
"9330002.01",6150.00,2.90,5974.00,2631.00,3169.90,1.94,2495.00,1045.00,1450.00,5.10,2500.00,1490.00,1005.00,0.00,2495.00,5230.00,1695.00,130.00,930.00,3055.00,1500.00,670.00,62.50,2.40,5260.00,5260.00,5080.00,34048.00,42.70
"9330002.03",4077.00,1.80,4005.00,1497.00,5192.30,0.79,1285.00,85.00,1200.00,6.40,1285.00,820.00,465.00,0.00,1285.00,3585.00,850.00,145.00,515.00,1685.00,1155.00,745.00,55.90,3.10,3580.00,3580.00,3435.00,26133.00,42.80
"9330002.04",4509.00,0.10,4503.00,1652.00,5809.80,0.78,1575.00,540.00,1035.00,5.70,1570.00,1020.00,555.00,0.00,1575.00,3680.00,1140.00,160.00,610.00,2115.00,1015.00,550.00,62.10,2.70,3650.00,3650.00,3485.00,32864.00,45.20
"9330003.01",3714.00,-1.50,3772.00,1210.00,6838.50,0.54,1075.00,20.00,1050.00,5.90,1075.00,590.00,480.00,0.00,1075.00,3040.00,780.00,145.00,355.00,1390.00,895.00,755.00,65.10,3.40,3100.00,3100.00,2955.00,24870.00,38.30
"9330003.02",4613.00,-1.20,4671.00,1429.00,4128.00,1.12,1320.00,25.00,1300.00,5.50,1320.00,645.00,680.00,0.00,1325.00,3795.00,775.00,165.00,370.00,1550.00,1340.00,900.00,63.90,3.30,3735.00,3735.00,3550.00,24416.00,40.70
"9330004.01",4925.00,9.10,4514.00,2537.00,3163.90,1.56,1925.00,755.00,1170.00,4.90,1925.00,1115.00,810.00,0.00,1930.00,4090.00,1510.00,135.00,565.00,2355.00,1225.00,515.00,55.90,2.40,4225.00,4225.00,4040.00,25196.00,43.30
"9330004.02",5652.00,-1.80,5756.00,1847.00,4777.30,1.18,1690.00,20.00,1670.00,5.50,1690.00,855.00,835.00,0.00,1690.00,4820.00,1150.00,165.00,630.00,2180.00,1620.00,1020.00,63.50,3.30,4685.00,4685.00,4465.00,24561.00,40.50
"9330005.00",7302.00,1.30,7207.00,4444.00,5300.10,1.38,4325.00,710.00,3615.00,3.10,4325.00,495.00,3830.00,0.00,4325.00,6685.00,2155.00,305.00,1155.00,4070.00,2055.00,555.00,68.70,1.70,6685.00,6685.00,6495.00,29376.00,41.00
